setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,variant,sexe,grup_edat,index_socioeconomic,recompte
31,2021,02/08/2021,08/08/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,15 a 19,2,1
20,2023,15/05/2023,21/05/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (XBB.1),Dona,80 o més,2,2
40,2022,03/10/2022,09/10/2022,61,Lleida,61,Lleida,Omicron (BA.2),Dona,65 a 69,4,1
37,2023,11/09/2023,17/09/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Eris (EG.5),Dona,70 a 74,4,1
1,2023,02/01/2023,08/01/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BQ.1),Home,70 a 74,3,2
46,2021,15/11/2021,21/11/2021,67,Catalunya Central,67,Catalunya Central,Delta (B.1.617.2),Home,3 i 4,3,1
2,2023,09/01/2023,15/01/2023,61,Lleida,61,Lleida,Omicron (BQ.1),Dona,60 a 64,3,1
45,2021,08/11/2021,14/11/2021,61,Lleida,61,Lleida,Delta (B.1.617.2),Dona,20 a 24,3,2
3,2022,17/01/2022,23/01/2022,67,Catalunya Central,67,Catalunya Central,Omicron (BA.1),Home,5 a 9,4,1
36,2022,05/09/2022,11/09/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.5),Home,55 a 59,3,1
17,2021,26/04/2021,02/05/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Home,45 a 49,3,1
38,2022,19/09/2022,25/09/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.2),Dona,80 o més,2,1
2,2022,10/01/2022,16/01/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.1),Dona,50 a 54,4,2
36,2023,04/09/2023,10/09/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (XBB.1),Dona,75 a 79,1,1
15,2023,10/04/2023,16/04/2023,62,Camp de Tarragona,62,Camp de Tarragona,Omicron (XBB.1),Dona,80 o més,4,1
47,2022,21/11/2022,27/11/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BQ.1),Dona,80 o més,4,1
52,2021,27/12/2021,02/01/2022,70,Penedès,70,Penedès,Omicron (BA.1),Dona,25 a 29,3,1
8,2022,21/02/2022,27/02/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.1),Home,55 a 59,1,1
32,2021,09/08/2021,15/08/2021,64,Girona,64,Girona,Delta (B.1.617.2),Dona,20 a 24,3,2
22,2021,31/05/2021,06/06/2021,70,Penedès,70,Penedès,Delta (B.1.617.2),Home,45 a 49,3,1
31,2022,01/08/2022,07/08/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.5),Home,70 a 74,3,5
15,2022,11/04/2022,17/04/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.2),Dona,80 o més,2,2
8,2023,20/02/2023,26/02/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BQ.1),Home,35 a 39,2,1
31,2021,02/08/2021,08/08/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,65 a 69,2,1
15,2021,12/04/2021,18/04/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Alpha (B.1.1.7),Dona,3 i 4,4,1
40,2022,03/10/2022,09/10/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.5),Home,25 a 29,3,1
49,2022,05/12/2022,11/12/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.5),Home,40 a 44,4,1
41,2021,11/10/2021,17/10/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,60 a 64,3,1
22,2021,31/05/2021,06/06/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,40 a 44,3,2
24,2022,13/06/2022,19/06/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.5),Dona,55 a 59,1,1
32,2022,08/08/2022,14/08/2022,67,Catalunya Central,67,Catalunya Central,Omicron (BA.5),Home,75 a 79,2,1
42,2021,18/10/2021,24/10/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,75 a 79,3,2
20,2023,15/05/2023,21/05/2023,62,Camp de Tarragona,62,Camp de Tarragona,Omicron (BA.2),Home,70 a 74,4,1
1,2022,03/01/2022,09/01/2022,61,Lleida,61,Lleida,Delta (B.1.617.2),Home,60 a 64,4,1
34,2023,21/08/2023,27/08/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Eris (EG.5),Dona,80 o més,2,1
26,2022,27/06/2022,03/07/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.5),Home,60 a 64,4,1
50,2022,12/12/2022,18/12/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.5),Dona,70 a 74,3,1
30,2023,24/07/2023,30/07/2023,61,Lleida,61,Lleida,Eris (EG.5),Home,0,4,1
47,2021,22/11/2021,28/11/2021,64,Girona,64,Girona,Delta (B.1.617.2),Dona,50 a 54,4,2
20,2021,17/05/2021,23/05/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Alpha (B.1.1.7),Dona,15 a 19,3,1
26,2022,27/06/2022,03/07/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.2),Home,65 a 69,3,1
32,2021,09/08/2021,15/08/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Dona,60 a 64,4,1
18,2021,03/05/2021,09/05/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Alpha (B.1.1.7),Dona,15 a 19,4,3
13,2021,29/03/2021,04/04/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Alpha (B.1.1.7),Home,15 a 19,4,1
47,2022,21/11/2022,27/11/2022,64,Girona,64,Girona,Omicron (BQ.1),Dona,45 a 49,3,2
23,2022,06/06/2022,12/06/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.5),Home,80 o més,2,1
39,2021,27/09/2021,03/10/2021,62,Camp de Tarragona,62,Camp de Tarragona,Delta (B.1.617.2),Dona,10 a 14,3,1
20,2021,17/05/2021,23/05/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Alpha (B.1.1.7),Home,50 a 54,2,1
6,2022,07/02/2022,13/02/2022,67,Catalunya Central,67,Catalunya Central,Omicron (BA.2),Dona,35 a 39,2,1
31,2021,02/08/2021,08/08/2021,70,Penedès,70,Penedès,Delta (B.1.617.2),Home,55 a 59,3,1
49,2021,06/12/2021,12/12/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Dona,40 a 44,2,8
11,2022,14/03/2022,20/03/2022,64,Girona,64,Girona,Omicron (BA.2),Dona,30 a 34,3,1
19,2022,09/05/2022,15/05/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.2),Dona,80 o més,2,8
15,2021,12/04/2021,18/04/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Alpha (B.1.1.7),Dona,1 i 2,2,1
22,2021,31/05/2021,06/06/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Altres,Dona,10 a 14,4,1
21,2022,23/05/2022,29/05/2022,70,Penedès,70,Penedès,Omicron (BA.2),Dona,1 i 2,3,1
25,2021,21/06/2021,27/06/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Alpha (B.1.1.7),Home,20 a 24,3,1
17,2021,26/04/2021,02/05/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Alpha (B.1.1.7),Dona,15 a 19,3,1
40,2023,02/10/2023,08/10/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Eris (EG.5),Dona,75 a 79,3,1
20,2021,17/05/2021,23/05/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Alpha (B.1.1.7),Dona,10 a 14,1,1
33,2021,16/08/2021,22/08/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Dona,30 a 34,3,2
4,2021,25/01/2021,31/01/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,B.1.177,Dona,60 a 64,3,1
48,2021,29/11/2021,05/12/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Delta (B.1.617.2),Dona,0,2,1
28,2021,12/07/2021,18/07/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,60 a 64,4,3
22,2022,30/05/2022,05/06/2022,63,Terres de l'Ebre,63,Terres de l'Ebre,Omicron (BA.2),Dona,15 a 19,3,1
3,2022,17/01/2022,23/01/2022,70,Penedès,70,Penedès,Omicron (BA.1),Dona,80 o més,-1,1
26,2022,27/06/2022,03/07/2022,61,Lleida,61,Lleida,Omicron (BA.2),Home,45 a 49,3,1
11,2023,13/03/2023,19/03/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (XBB.1),Dona,75 a 79,2,2
49,2021,06/12/2021,12/12/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,75 a 79,3,1
51,2021,20/12/2021,26/12/2021,62,Camp de Tarragona,62,Camp de Tarragona,Altres,Dona,40 a 44,3,1
49,2021,06/12/2021,12/12/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Home,60 a 64,1,2
